ticker,count,Company,from_date,to_date,stock
ADI,56,"Analog Devices, Inc. - Common Stock",2012-11-27,2023-06-06,NASDAQ
BLK,55,"BlackRock, Inc. Common Stock",2012-10-17,2023-05-31,NYSE
BAC,55,Bank of America Corporation Common Stock,2012-10-17,2020-01-15,NYSE
WMB,55,"Williams Companies, Inc. (The) Common Stock",2012-11-01,2023-05-04,NYSE
ZNGA,55,ZNGA,2012-10-24,2021-12-08,
PRU,55,"Prudential Financial, Inc. Common Stock",2012-11-08,2023-05-03,NYSE
RIG,55,Transocean Ltd (Switzerland) Common Stock,2012-11-05,2023-05-02,NYSE
SYK,55,Stryker Corporation Common Stock,2012-10-17,2023-05-01,NYSE
GSK,55,GlaxoSmithKline PLC Common Stock,2012-10-31,2023-04-26,NYSE
SAP,55,SAP  SE ADS,2012-10-24,2023-04-21,NYSE
KKR,55,KKR & Co. L.P. Common Units Representing Limited Partnership Interest,2012-10-26,2023-05-08,NYSE
FOLD,54,"Amicus Therapeutics, Inc. - Common Stock",2012-11-06,2023-05-10,NASDAQ
HAL,54,Halliburton Company Common Stock,2012-10-17,2023-04-25,NYSE
CVX,54,Chevron Corporation Common Stock,2012-11-02,2023-04-28,NYSE
KMB,54,Kimberly,2012-10-24,2023-06-06,NYSE
MOS,54,Mosaic Company (The) Common Stock,2013-01-04,2023-05-04,NYSE
ALKS,54,Alkermes plc - Ordinary Shares,2012-11-01,2023-04-26,NASDAQ
ISRG,53,"Intuitive Surgical, Inc. - Common Stock",2013-01-22,2023-04-18,NASDAQ
IMGN,53,"ImmunoGen, Inc. - Common Stock",2012-10-26,2023-04-28,NASDAQ
MAR,53,Marriott International - Class A Common Stock,2013-02-20,2023-06-06,NASDAQ
WM,53,"Waste Management, Inc. Common Stock",2012-10-31,2023-05-14,NYSE
ALB,53,Albemarle Corporation Common Stock,2012-10-18,2023-06-06,NYSE
PEP,53,"PepsiCo, Inc. - Common Stock",2012-10-17,2023-04-25,NYSE
MET,53,"MetLife, Inc. Common Stock",2012-11-01,2023-05-04,NYSE
NGD,53,NGD,2012-11-01,2023-04-27,NYSE
CHKP,53,Check Point Software Technologies Ltd. - Ordinary Shares,2012-10-17,2023-05-01,NASDAQ
FB,53,FB,2012-10-23,2022-04-27,
NVO,53,Novo Nordisk A/S Common Stock,2012-10-31,2023-05-04,NYSE
TWTR,52,"Twitter, Inc. Common Stock",2014-02-06,2022-03-10,NYSE
CMG,52,"Chipotle Mexican Grill, Inc. Common Stock",2012-10-18,2023-04-25,NYSE
GPS,52,"Gap, Inc. (The) Common Stock",2012-11-15,2023-05-25,NYSE
AAL,52,"American Airlines Group, Inc. - Common Stock",2014-07-24,2023-05-31,NASDAQ
HCA,52,"HCA Holdings, Inc. Common Stock",2012-11-02,2023-04-21,NYSE
PLUG,52,"Plug Power, Inc. - Common Stock",2012-11-13,2023-05-11,NASDAQ
INCY,52,Incyte Corporation - Common Stock,2012-11-01,2023-05-02,NASDAQ
CHD,52,"Church & Dwight Company, Inc. Common Stock",2012-11-05,2023-04-27,NYSE
CCJ,52,Cameco Corporation Common Stock,2012-11-01,2023-05-17,NYSE
FRT,52,Federal Realty Investment Trust Common Stock,2012-11-02,2023-05-04,NYSE
CALX,52,"Calix, Inc Common Stock",2012-10-25,2023-04-20,NYSE
LUV,52,Southwest Airlines Company Common Stock,2012-10-18,2023-06-01,NYSE
RMBS,52,"Rambus, Inc. - Common Stock",2012-10-18,2023-05-01,NASDAQ
MRNA,52,"Moderna, Inc. - Common Stock",2019-03-06,2023-06-06,NASDAQ
LXRX,52,"Lexicon Pharmaceuticals, Inc. - Common Stock",2012-11-06,2023-05-02,NASDAQ
BDX,52,"Becton, Dickinson and Company Common Stock",2012-11-07,2023-05-04,NYSE
MELI,52,"MercadoLibre, Inc. - Common Stock",2012-11-02,2023-05-03,NASDAQ
EBS,52,"Emergent Biosolutions, Inc. Common Stock",2012-11-01,2023-05-09,NYSE
DELL,51,DELL,2012-11-15,2023-06-06,NASDAQ
CRIS,51,"Curis, Inc. - Common Stock",2012-11-06,2023-05-04,NASDAQ
EA,51,Electronic Arts Inc. - Common Stock,2012-10-30,2023-05-09,NASDAQ
ADP,51,"Automatic Data Processing, Inc. - Common Stock",2012-11-01,2023-05-31,NASDAQ
ARCC,51,Ares Capital Corporation - Closed End Fund,2012-11-05,2023-04-25,NASDAQ
BMO,51,Bank Of Montreal Common Stock,2012-12-04,2023-05-24,NYSE
IVR,51,INVESCO MORTGAGE CAPITAL INC Common Stock,2012-10-31,2023-05-10,NYSE
HIG,51,"Hartford Financial Services Group, Inc. (The) Common Stock",2012-11-02,2023-04-28,NYSE
NVS,51,Novartis AG Common Stock,2012-10-25,2023-04-25,NYSE
WAT,51,Waters Corporation Common Stock,2012-10-23,2023-05-09,NYSE
IMAX,51,Imax Corporation Common Stock,2012-10-25,2023-04-27,NYSE
ADBE,51,Adobe Inc. - Common Stock,2012-12-13,2023-05-18,NASDAQ
CYTK,51,"Cytokinetics, Incorporated - Common Stock",2012-10-30,2023-05-04,NASDAQ
NWSA,50,News Corporation - Class A Common Stock,2012-11-06,2023-05-11,NASDAQ
SWN,50,Southwestern Energy Company Common Stock,2012-11-02,2023-04-28,NYSE
NEM,50,Newmont Mining Corporation,2012-11-02,2023-04-27,NYSE
HALO,50,"Halozyme Therapeutics, Inc. - Common Stock",2012-11-08,2023-05-09,NASDAQ
FRC,50,FIRST REPUBLIC BANK Common Stock,2012-10-17,2023-04-24,NYSE
HOV,50,"Hovnanian Enterprises, Inc. Class A Common Stock",2012-11-14,2023-05-31,NYSE
BAX,50,Baxter International Inc. Common Stock,2012-10-18,2023-04-27,NYSE
AB,50,Allianceberstein Holding L.P.  Units,2012-10-25,2023-04-27,NYSE
INTU,50,Intuit Inc. - Common Stock,2012-11-15,2023-06-06,NASDAQ
WY,50,Weyerhaeuser Company Common Stock,2012-10-26,2023-04-28,NYSE
SKT,50,"Tanger Factory Outlet Centers, Inc. Common Stock",2012-10-31,2023-06-08,NYSE
APD,50,"Air Products and Chemicals, Inc. Common Stock",2012-10-19,2023-05-09,NYSE
WPC,50,W.P. Carey Inc. REIT,2012-11-09,2023-06-06,NYSE
SWK,50,"Stanley Black & Decker, Inc. Common Stock",2012-10-17,2023-05-04,NYSE
TAP,50,Molson Coors Brewing Company Class B Common Stock,2012-11-07,2023-05-02,NYSE
ABC,50,AmerisourceBergen Corporation (Holding Co) Common Stock,2012-11-01,2023-05-02,NYSE
CHTR,50,"Charter Communications, Inc. - Class A Common Stock",2012-11-06,2023-04-28,NASDAQ
KR,50,Kroger Company (The) Common Stock,2012-11-29,2023-03-15,NYSE
LYB,50,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),2012-10-26,2023-04-28,NYSE
MRVL,50,"Marvell Technology, Inc. - Common Stock",2012-11-15,2023-05-31,NASDAQ
NEE,50,"NextEra Energy, Inc. Common Stock",2012-10-24,2023-04-25,NYSE
INFY,49,Infosys Limited American Depositary Shares,2013-01-11,2023-04-13,NYSE
OLED,49,Universal Display Corporation - Common Stock,2013-08-08,2023-05-03,NASDAQ
YELP,49,Yelp Inc. Class A Common Stock,2012-11-01,2023-05-04,NYSE
MCK,49,McKesson Corporation Common Stock,2012-10-25,2023-05-08,NYSE
UNM,49,Unum Group Common Stock,2012-11-01,2023-05-03,NYSE
NTAP,49,"NetApp, Inc. - Common Stock",2012-11-14,2023-05-31,NASDAQ
AEM,49,Agnico Eagle Mines Limited Common Stock,2012-10-25,2023-04-28,NYSE
PXD,49,Pioneer Natural Resources Company Common Stock,2012-11-01,2023-04-27,NYSE
ALGN,49,"Align Technology, Inc. - Common Stock",2012-10-18,2023-04-26,NASDAQ
WWE,49,"World Wrestling Entertainment, Inc. Class A Common Stock",2012-11-02,2023-05-03,NYSE
CVGI,49,"Commercial Vehicle Group, Inc. - Common Stock",2013-02-14,2023-05-07,NASDAQ
XRX,49,Xerox Holdings Corporation - Common Stock,2012-10-23,2023-04-25,NYSE
GRPN,49,"Groupon, Inc. - Common Stock",2012-11-08,2023-05-10,NASDAQ
SSYS,49,"Stratasys, Ltd. - Common Stock",2012-11-02,2023-05-16,NASDAQ
STAA,49,STAAR Surgical Company - Common Stock,2012-10-31,2023-05-03,NASDAQ
ECL,49,Ecolab Inc. Common Stock,2012-10-30,2023-05-02,NYSE
PKI,49,"PerkinElmer, Inc. Common Stock",2012-10-25,2023-05-11,NYSE
DG,49,Dollar General Corporation Common Stock,2012-12-11,2023-06-01,NYSE
ZS,49,"Zscaler, Inc. - Common Stock",2018-06-06,2023-06-08,NASDAQ
INO,49,"Inovio Pharmaceuticals, Inc. - Common Stock",2014-08-11,2023-05-17,NASDAQ
DASTY,49,DASTY,2012-10-25,2023-04-26,OTC
MNTA,49,MNTA,2012-11-07,2020-08-10,
EXAS,49,Exact Sciences Corporation - Common Stock,2012-10-30,2023-05-09,NASDAQ
DUK,49,Duke Energy Corporation (Holding Company) Common Stock,2012-11-08,2023-05-09,NYSE
NE,49,Noble Corporation Ordinary Shares (UK),2012-10-18,2023-05-04,NYSE
SGEN,49,Seagen Inc.  - Common Stock,2012-11-07,2023-02-15,NASDAQ
TSLA,49,"Tesla, Inc.  - Common Stock",2012-11-05,2023-04-19,NASDAQ
BBY,49,"Best Buy Co., Inc. Common Stock",2012-11-20,2023-05-25,NYSE
ULTA,49,"Ulta Beauty, Inc. - Common Stock",2012-11-29,2023-05-25,NASDAQ
TEX,49,Terex Corporation Common Stock,2012-10-25,2023-05-02,NYSE
FITB,49,Fifth Third Bancorp - Common Stock,2012-10-18,2023-04-20,NASDAQ
HL,49,Hecla Mining Company Common Stock,2012-11-06,2023-05-10,NYSE
ARAY,49,Accuray Incorporated - Common Stock,2012-10-29,2023-04-26,NASDAQ
JBLU,49,JetBlue Airways Corporation - Common Stock,2012-10-25,2023-04-25,NASDAQ
SLF,49,Sun Life Financial Inc. Common Stock,2012-11-08,2023-05-12,NYSE
